area,latitude,longitude,population
BE,49.5,5.0,1632
BE,49.5,5.5,61237
BE,49.5,6.0,57310
BE,50.0,4.0,11941
BE,50.0,4.5,63200
BE,50.0,5.0,76096
BE,50.0,5.5,112918
BE,50.0,6.0,20606
BE,50.5,3.0,49852
BE,50.5,3.5,250515
BE,50.5,4.0,661743
BE,50.5,4.5,958846
BE,50.5,5.0,420840
BE,50.5,5.5,774192
BE,50.5,6.0,297888
BE,50.5,6.5,6520
BE,51.0,2.5,71064
BE,51.0,3.0,716232
BE,51.0,3.5,868631
BE,51.0,4.0,1097334
BE,51.0,4.5,2950506
BE,51.0,5.0,700120
BE,51.0,5.5,701097
BE,51.0,6.0,22548
BE,51.5,3.0,71643
BE,51.5,3.5,32264
BE,51.5,4.0,22781
BE,51.5,4.5,444864
BE,51.5,5.0,188982
BE,51.5,5.5,11968
CZ,48.5,14.0,4078
CZ,48.5,14.5,16265
CZ,48.5,15.0,76
CZ,48.5,16.0,8
CZ,48.5,16.5,528
CZ,48.5,17.0,9330
CZ,49.0,13.0,2019
CZ,49.0,13.5,23243
CZ,49.0,14.0,75442
CZ,49.0,14.5,232647
CZ,49.0,15.0,65096
CZ,49.0,15.5,46468
CZ,49.0,16.0,156163
CZ,49.0,16.5,586056
CZ,49.0,17.0,234128
CZ,49.0,17.5,286997
CZ,49.0,18.0,63254
CZ,49.5,12.5,7175
CZ,49.5,13.0,108403
CZ,49.5,13.5,262930
CZ,49.5,14.0,153934
CZ,49.5,14.5,132806
CZ,49.5,15.0,92303
CZ,49.5,15.5,187092
CZ,49.5,16.0,125200
CZ,49.5,16.5,217889
CZ,49.5,17.0,250086
CZ,49.5,17.5,311461
CZ,49.5,18.0,273006
CZ,49.5,18.5,195742
CZ,49.5,19.0,15784
CZ,50.0,12.0,12663
CZ,50.0,12.5,145645
CZ,50.0,13.0,105634
CZ,50.0,13.5,173947
CZ,50.0,14.0,332387
CZ,50.0,14.5,1853137
CZ,50.0,15.0,245497
CZ,50.0,15.5,188231
CZ,50.0,16.0,351338
CZ,50.0,16.5,174495
CZ,50.0,17.0,147745
CZ,50.0,17.5,92362
CZ,50.0,18.0,287281
CZ,50.0,18.5,406745
CZ,50.5,12.0,2400
CZ,50.5,12.5,22823
CZ,50.5,13.0,58448
CZ,50.5,13.5,255078
CZ,50.5,14.0,360106
CZ,50.5,14.5,204148
